"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
151,1,24340.42414395,15019.31186651,223.30848423,245818.86966876,17679.12994654,2820.85446321,23.03363572
152,1,24662.32025848,24058.87808099,176.22453056,98241.95161401,18970.01719035,2090.07508894,27.02470945
153,1,24874.83135742,7215.41054087,109.48904113,45099.27725244,18091.48178071,2062.46195724,23.92780748
154,1,25141.36779757,22889.33505549,145.92752574,68436.7897958,19203.1415116,2384.07074328,30.92652383
155,1,25473.17584285,7409.15111666,190.87496565,122197.03437595,15566.43889962,1902.34120774,23.05839125
156,1,25543.50802498,8317.49162509,130.81344743,78133.51277772,16407.49492357,1999.23358016,18.52825968
157,1,25575.1202183,26804.58889168,129.4734103,78177.3122505,19019.62287247,2340.75341031,21.268731
158,1,25575.92145346,27619.84828758,185.19535215,263535.61986272,17767.26249856,2240.94671608,11.88696641
159,1,25653.0685661,5988.59621068,142.41276744,93214.6591011,16727.19864679,1763.83546055,16.05499846
160,1,26199.91354205,4133.30732247,134.93538233,87906.12864107,15924.10468206,1785.11763198,15.57947687
161,1,26608.71813034,3377.76956592,107.26953109,56289.79978353,15201.97168513,1536.89932706,13.77911783
162,1,26498.72481844,27707.03918456,143.13735702,84123.01419832,18109.90892559,2321.89247327,23.63379202
163,1,26822.43255842,2378.24636738,173.45057389,84045.68594557,14674.31798385,1827.27416642,26.79280639
164,1,26747.15962745,30342.41038225,157.46070155,109726.78950104,16824.99711937,1753.0955642,16.38162348
165,1,27104.03251493,20440.74991373,90.5612091,35574.884447,18609.92269408,1761.32805567,18.56336695
166,1,27464.26493055,15133.42508623,94.43860109,43562.18436127,17095.90307979,1939.98907704,17.94868796
167,1,27529.04840603,17844.71386755,101.91538728,58462.21709279,18718.54035817,2703.12838955,21.29023804
168,1,27528.60751992,31816.8991672,124.95495023,78338.73653906,16646.80827782,2056.67646855,17.46934973
169,1,27788.23114733,24923.1780376,134.52619915,194362.23899289,18064.68968153,1705.00080591,6.69965441
170,1,27815.60606427,17590.28007819,359.99476445,437683.01373916,14299.00250037,3000.49559426,35.17035867
171,1,28137.79085651,27332.62012511,114.10001565,57668.94635236,16988.08126627,1912.01247972,18.68992639
172,1,28249.87731091,20357.51030301,120.46583132,108760.82441779,18395.47990683,2046.00454896,11.70892618
173,1,28344.13311477,4103.25409645,132.42242378,55010.27727726,14589.10018863,1717.93216288,23.13107375
174,1,28689.42427999,6497.0259568,84.0584443,41047.31447665,14978.41283249,1824.04918815,14.68595183
175,1,28716.49889731,19388.53343011,177.16392364,92201.94473644,16521.35072777,1911.47306117,26.60523731
176,1,28724.11484168,25645.12042253,114.83626994,57683.41661724,17367.59743153,2032.6229557,20.0951448
177,1,29485.86134789,4784.03835983,101.15915529,46566.31429061,14324.44038072,1672.88271713,16.33247709
178,1,29590.2900574,26927.60832084,157.95933031,135429.74260051,16679.2008124,2847.13771625,21.67632145
179,1,29749.62476918,1891.19111852,149.00035498,110939.63228558,14033.60957347,1497.58281083,12.47425297
180,1,30060.81460601,2499.59983686,140.16985033,120386.84376749,14023.7802382,1844.63935498,12.62220473
181,1,30211.7179892,20795.86293397,121.79668823,57424.22199042,16233.89243442,2325.7890864,25.70704824
182,1,30307.99160579,23571.79591505,93.98681209,50181.20292157,16747.14707064,1751.03569325,13.95091306
183,1,30351.45710102,7391.55731363,84.60916815,38700.43821349,14950.01052677,2196.22209418,18.95585451
184,1,30849.15922552,7216.74352013,140.61709441,63137.06092423,13945.23689829,2114.00692466,27.7311331
185,1,30931.90937396,9684.79777896,130.90834806,62807.47903404,14296.52456378,2072.12496084,23.91838675
186,1,30953.33206177,12854.34125484,141.56474673,140236.8055705,14323.80234382,2023.33212172,12.10696047
187,1,31353.97501137,5485.82794608,120.44883251,74576.51952435,13425.68017244,2050.46645691,17.10394654
188,1,31263.36653273,14268.78979717,106.67894159,44193.67704622,14685.84820672,1808.25311567,20.43759662
189,1,31809.63920287,18807.08686025,121.6493531,178390.8775462,16548.93772123,2381.28370021,8.45988122
190,1,32108.30103837,7206.19393412,136.64215197,77319.92978422,13402.94663907,1917.73570367,19.47513946
191,1,32122.35917689,21165.64941399,123.9933837,73179.66350998,15275.33579696,1927.40642642,17.27923358
192,1,32070.90896948,29847.11877794,96.38528135,76495.18616102,15430.64979377,2607.67474644,14.23495978
193,1,32129.14467058,24730.8025636,132.4207391,79546.77087,15200.00842221,2130.86109498,19.83999926
194,1,32274.57531084,6199.01215717,154.10086482,142088.61862586,13401.50043819,2065.52004254,14.30832064
195,2,443.56280451,17174.79227942,95.57354536,58243.43889795,34765.62726975,2324.11325533,16.41884013
196,2,642.26794005,6004.27952149,134.01006992,84276.90975202,34081.23091125,3021.5061902,27.14175965
197,2,550.09888598,19830.93127295,75.29829016,48482.04448269,34361.49333727,2457.93016728,13.97810664
198,2,644.68803366,24984.39131901,140.68179506,115437.19142855,34199.14778463,3154.99069303,22.65388275
199,2,1146.69418438,558.90251806,213.73858733,163528.58170413,29144.73697843,2465.17162883,27.78796711
200,2,1108.84586658,3380.23028054,119.62787848,100215.67477021,32378.60377597,3188.97369741,19.54415274
201,2,1113.85674004,6324.15322417,86.65498702,67493.18922904,34615.80118589,3876.79048221,19.97029895
202,2,1238.98081455,7208.90862534,97.74206776,69415.40443945,34467.46428739,2586.74185068,15.9445896
203,2,1275.88661178,31949.88334926,144.03997778,140967.669071,33392.45965698,2546.60845362,15.65433749
204,2,1392.292185,12477.09727961,135.00478169,111275.47317036,35336.83873088,3181.95652953,21.94879629
205,2,1407.54689847,13920.7891097,272.35255192,362687.18559901,32269.23763158,3380.99321805,27.58720229
206,2,1392.64914025,14071.82617429,736.45628093,9208331.00922096,0.02241572,3357.56826369,7.77145581
207,2,1600.13524067,16959.61153485,176.87987996,184890.43684659,32821.30481148,3266.42145715,22.59973768
208,2,1642.68246131,29540.47802284,110.84489144,88405.76118218,33637.40839107,2795.13598163,16.91322224
209,2,1715.22254207,30636.55379858,112.89038649,96861.3913742,32837.47986755,2775.56770087,15.8430996
210,2,1865.45028262,20377.1657569,114.82610957,79117.44618967,34518.72933589,3234.01613187,23.30126353
211,2,2045.28314604,13057.94784214,122.06893365,116878.24864419,36287.74634968,2943.39203596,16.05127987
212,2,2314.06162487,11358.05375632,89.06013538,52050.49711269,35313.09107606,2905.87117566,20.33603744
213,2,2279.24220311,14286.59271418,102.99258913,61139.13045202,35387.29715751,2769.09298342,21.24638626
214,2,2560.25382576,10840.85391943,169.62746195,104960.55417535,33668.04448483,2828.3089708,31.81573492
215,2,2667.68024745,18183.82969747,129.20984178,116659.09066836,34120.83631707,2979.04688084,18.07068747
216,2,2770.96504966,1795.37434629,128.20128324,268409.03025727,31726.66890355,2615.91337502,6.80314745
217,2,2991.26748216,21896.16281579,311.8614123,344461.88986635,31988.5360001,3994.83316679,44.80205771
218,2,3303.7812707,21999.53584705,107.29163667,69189.05517258,36208.1003333,3333.31468708,24.30382416
219,2,3553.30564192,20248.00487697,101.61281927,89519.22411383,35238.11690355,3021.05982206,15.45925759
220,2,3822.37940555,18797.49539041,143.55331119,104647.65439222,34721.86457025,2776.37796484,22.83996353
221,2,4145.59879734,16568.60362966,107.35533942,92500.0966759,35882.03499405,3351.62060854,18.29981774
222,2,4146.67818234,21636.59772199,108.78591924,76647.63842686,33596.42025208,3055.29074991,20.61476366
223,2,4095.1963822,23629.66232129,130.0968352,231090.08085131,34732.74709345,3230.98723352,10.02264093
224,2,4180.1621534,31116.91061641,109.55057593,81024.36473529,32235.39084409,2481.57466087,16.0428803
225,2,4237.2918681,17480.65671504,126.14693933,159219.52890492,36831.60727142,3866.43272689,16.43902637
226,2,4450.02177058,6036.29369788,112.04654554,75140.29067131,33813.27070424,2772.48882713,20.12372241
227,2,4524.43764614,3254.68164023,100.29400282,47342.09087358,31524.90760142,2036.17974324,19.25513549
228,2,4643.23574167,20758.38105302,126.61312703,94382.6228093,34735.09729813,2989.36215275,21.58728012
229,2,4894.7684819,9318.82665899,138.28280758,128456.2551885,33428.57086286,3090.69512504,19.31335431
230,2,5141.31705113,1047.6528502,147.67011948,138660.83231343,30264.15925098,2891.64802892,18.93364228
231,2,5492.31394922,6290.83175167,179.28105829,146632.89081633,30580.98581096,2737.90416977,24.51171939
232,2,5580.48154306,20744.80416088,143.7380771,259772.38128285,32872.88255201,3122.22612671,10.37548639
233,2,5843.18889571,18716.21533769,96.67196306,69030.65786504,34824.15265991,2853.91072704,17.35087694
234,2,5793.72053814,26694.4630375,148.18297986,94448.19417717,32490.60593441,3354.36860921,32.44952139
235,2,6073.71396352,11823.7542574,128.53025467,100318.45080175,33088.51700284,2988.55363158,20.87562899
236,2,6121.82428444,31316.87697559,112.00694495,127305.43696611,32671.26757215,2547.55349592,10.91142896
237,2,6131.67436695,14693.59820063,176.89018803,248464.03693966,33560.42347733,3312.38837186,17.0573334
238,2,6352.06268016,7676.16623309,110.00373432,118838.85118538,32192.77635481,2555.78745663,11.35131129
239,2,6278.49414189,30453.99787139,142.17796996,156967.44835736,31494.91266005,2681.67761551,14.44776866
240,2,6333.43124256,32373.95653254,179.38567564,144297.73801836,30955.10609335,2315.6035584,21.09261503
241,2,6530.57707392,9088.38258564,123.19421595,110731.61449716,33719.61759517,1923.47186277,11.26555908
242,2,6586.78576417,24546.35101613,124.48471616,169865.53735092,33317.83294478,2801.19227833,10.89835479
243,2,6667.96375476,4127.60752256,129.92093837,97574.46375171,30343.67051261,2998.4277359,21.96593931
244,2,6854.40602207,12187.0459557,107.64152469,76900.34510443,33777.38099352,2807.44234738,18.52730892
245,2,6823.64851002,15739.66829125,117.45133739,93929.76643809,34282.57671905,3141.90654302,19.86804274
246,2,6788.24124279,26619.91419329,141.77940321,101016.36306484,31493.29936371,2512.94911145,20.92415135
247,2,6967.50786827,16352.35407627,112.85263347,100057.95111896,34825.98116428,3244.44408166,17.9148398
248,2,7098.88910751,18695.00921126,162.11581671,141746.74258087,32121.12338354,2615.06634427,19.98511522
249,2,7133.65390227,19303.43312447,97.1432314,69026.46195543,34334.25504575,2201.94265375,13.50605075
250,2,7536.4072106,31194.67179728,100.93502742,99001.20722722,32207.42777409,3560.99702232,16.28197521
251,2,7818.10365565,22437.10317563,116.25571701,126945.18419173,33263.60647123,2853.38939648,13.1078627
252,2,7523.89969172,31182.64583313,104.55929567,97000.79652493,33601.31412899,4146.64167521,20.59566194
253,2,8027.59026413,31622.51388323,183.38468388,133140.67490351,30462.05382682,3458.98912295,35.61513917
254,2,8490.38943457,2009.8623158,117.09168086,142599.01558086,30036.32273197,2824.38309375,11.70263246
255,2,8463.65421897,20509.902949,118.5800454,181567.95892978,33982.62779437,2454.35798574,8.17615822
256,2,8666.88904579,18478.0655441,128.24921839,155465.71741697,32328.8034987,2162.34244605,9.7138661
257,2,8921.11635717,21712.92202419,131.71994135,218564.24137253,33126.79728064,2455.59626125,8.24434366
258,2,9181.93805546,31231.26501731,114.58795192,84134.28907801,30591.86123618,2640.66897082,17.82756674
259,2,9666.53454507,11885.36951276,131.74329051,225485.94436531,32372.10970371,2675.44059418,8.70834341
260,2,9971.39194642,15745.98046523,113.95548304,113263.91539281,32047.07148055,2885.35137562,14.32629245
261,2,10111.49155894,23418.78068163,126.10959751,131374.77707539,32414.98020998,2868.72910832,14.77668572
262,2,10308.17450057,18765.90434593,130.03749322,88058.04897598,32761.98227595,2572.24237707,20.91645335
263,2,10432.77167316,8770.44482873,151.44901187,357540.09236977,31092.11721136,2884.05184667,7.6852791
264,2,10470.60345946,13561.30958814,121.54232257,324313.18698588,32722.24158975,2542.16844602,4.96301654
265,2,10411.7215539,28178.87533946,120.78713647,147736.46409015,30994.00983617,3012.27948474,12.74844179
266,2,10500.08489834,31684.86391104,141.21923817,74311.23315813,29230.32146375,2260.00376028,25.39080524
267,2,10717.64188033,11309.261337,127.34908013,103944.28563432,31782.77862814,2441.79848286,16.18656037
268,2,10987.45920593,21435.14634524,142.72034657,72381.59542231,31552.87362119,2979.14596303,35.04390635
269,2,11179.12443922,14240.05254855,127.84068208,100039.71120846,31171.96466274,2859.40633479,19.83187917
270,2,11488.57454878,8836.74167184,108.61689272,64302.39889183,30542.29903111,2571.71889924,20.62710763
271,2,11494.9759844,13621.09472572,102.18551662,102144.25704028,32059.17352739,2924.38844872,13.247159
272,2,11462.54531424,27249.88791014,138.82205006,145865.56338822,28859.51586413,2570.38336069,14.25140812
